# Data1   	  Data2    	  Data3    	  Data4    	  Data5
 1008.71 	  1878.29 	  1541.68 	  2037.64 	  1837.53 	
  729.62 	  2993.79 	  2727.67 	  1914.04 	  1780.86 	
 3622.78 	  2611.81 	  1315.94 	  4910.98 	  2134.02 	
 3743.60 	  3050.63 	  1400.30 	  1922.68 	  3043.46 	
 2325.87 	  1900.98 	  2308.00 	  2365.08 	  2281.24 	
 3090.03 	  1738.82 	  2146.96 	  1661.01 	  1848.32 	
 1849.51 	  2038.24 	  1621.38 	  1968.23 	  2246.52 	
 2246.44 	  1323.06 	  3412.43 	  1601.16 	  2508.46 	
 3361.61 	  2167.32 	  3444.11 	  2423.64 	  3662.48 	
 2555.94 	  1657.60 	  2126.96 	  1973.87 	  1608.23 	
 2848.50 	  1555.54 	  1340.02 	  1979.66 	  2629.42 	
  292.71 	  4056.76 	   954.96 	  1770.92 	  4755.06 	
 1108.92 	  1417.95 	  3895.03 	  2760.33 	  3627.68 	
 3318.21 	  2640.63 	  2812.62 	  3428.08 	  6344.12 	
 3568.61 	  3042.42 	  1235.17 	  3482.23 	  3117.86 	
 1654.85 	  2108.84 	  1968.28 	  2694.49 	  2660.46 	
 2107.94 	  2148.08 	  3719.73 	  2580.02 	  5794.51 	
 2977.04 	  1610.11 	  3533.40 	  1683.10 	  2652.34 	
 2865.82 	  1076.24 	  3162.13 	  1311.26 	  2080.05 	
 3094.53 	  2143.37 	  2693.66 	  4694.90 	  1984.64 	
 1688.29 	  1460.92 	  1540.32 	  1916.47 	  1685.16 	
 1545.33 	  6795.26 	  1957.20 	  4001.77 	  1869.34 	
 2420.95 	  3529.26 	  3811.16 	  1588.89 	  2708.65 	
 2187.70 	  2601.19 	  1768.94 	  2177.92 	  1745.49 	
 2470.04 	  2512.94 	  3860.88 	  2081.15 	  2247.62 	
 2477.66 	  2344.19 	  3216.36 	  2052.19 	  1818.15 	
 3031.76 	  1892.16 	  3462.68 	  2760.95 	  1804.60 	
 1470.86 	  2335.05 	  2808.44 	  3073.86 	  3763.21 	
 1061.06 	  3630.20 	  2296.61 	  2131.67 	  2026.97 	
 1927.28 	  1670.01 	  2266.90 	  1948.88 	  1763.33 	
 2825.55 	  2132.10 	  3166.00 	  1905.84 	  3103.56 	
 2149.80 	  1831.09 	  1328.21 	  1541.30 	  2217.23 	
 1451.48 	  1639.47 	  3056.59 	  2135.39 	  2765.66 	
 4356.24 	  2339.98 	  3473.05 	  1587.66 	  2839.40 	
 1412.78 	  1760.23 	  5043.36 	  2845.48 	  4785.80 	
 3913.54 	  1301.40 	  3048.39 	  3407.59 	  1651.34 	
 3106.94 	  2128.74 	  1367.19 	  2932.00 	  2324.57 	
 2182.84 	  2094.29 	  2798.09 	  1865.20 	  1634.58 	
 2117.90 	  2649.48 	  3203.19 	  2547.53 	  1576.10 	
 2441.96 	  1796.76 	  3756.44 	  3462.50 	  2091.50 	
 3453.06 	  1833.99 	  2666.23 	  1964.64 	  1841.40 	
 4581.00 	  2315.82 	  2254.36 	  4125.24 	  2324.51 	
 2265.87 	  2021.99 	  1829.97 	  2213.18 	  2645.85 	
 2129.50 	  2732.62 	  1326.29 	  1495.51 	  2886.11 	
 1471.50 	  3522.22 	  2981.28 	  2253.62 	  2382.63 	
